order_id;order_date;ship_date;realisation_time;ship_id;reg_seller_id
100006;2014-09-07;2014-09-13;6;D3;4
100013;2017-11-06;2017-11-11;5;D3;7
100041;2016-11-20;2016-11-25;5;D3;1
100048;2017-05-19;2017-05-24;5;D3;3
100055;2017-05-28;2017-06-01;4;D3;3
100069;2015-06-29;2015-07-03;4;D3;1
100083;2016-11-24;2016-11-29;5;D3;8
100090;2014-07-08;2014-07-12;4;D3;7
100097;2017-11-26;2017-11-29;3;D2;3
100111;2017-09-20;2017-09-26;6;D3;3
100146;2015-05-14;2015-05-19;5;D3;7
100153;2016-12-13;2016-12-17;4;D3;1
100160;2017-09-07;2017-09-11;4;D3;3
100202;2016-12-31;2017-01-05;5;D3;8
100209;2017-07-09;2017-07-15;6;D3;8
100216;2015-04-13;2015-04-14;1;D1;7
100223;2017-07-05;2017-07-10;5;D3;1
100230;2017-12-11;2017-12-15;4;D3;4
100237;2017-10-15;2017-10-19;4;D3;7
100244;2016-09-20;2016-09-24;4;D3;8
100251;2015-05-17;2015-05-23;6;D3;4
100279;2014-03-10;2014-03-14;4;D3;1
100293;2014-03-14;2014-03-18;4;D3;5
100300;2016-06-24;2016-06-26;2;D2;7
100307;2016-12-15;2016-12-19;4;D3;5
100314;2017-09-29;2017-10-05;6;D3;1
100328;2014-01-28;2014-02-03;6;D3;3
100335;2017-09-07;2017-09-13;6;D3;1
100356;2017-10-21;2017-10-25;4;D3;1
100363;2014-04-08;2014-04-15;7;D3;8
100377;2015-08-28;2015-09-01;4;D3;1
100384;2017-06-24;2017-07-01;7;D3;8
100391;2014-05-25;2014-05-29;4;D3;3
100398;2017-08-19;2017-08-23;4;D3;7
100405;2016-08-26;2016-08-28;2;D2;7
100412;2017-12-22;2017-12-26;4;D3;6
100419;2016-12-16;2016-12-20;4;D2;1
100426;2017-06-04;2017-06-08;4;D3;6
100433;2017-08-11;2017-08-16;5;D3;3
100454;2015-11-20;2015-11-25;5;D3;4
100461;2016-01-08;2016-01-12;4;D3;1
100468;2016-11-24;2016-12-01;7;D3;8
100482;2017-04-11;2017-04-15;4;D3;3
100510;2016-05-12;2016-05-17;5;D3;3
100524;2017-03-31;2017-04-02;2;D2;3
100531;2015-09-27;2015-09-29;2;D1;2
100545;2015-11-22;2015-11-26;4;D3;3
100566;2016-09-03;2016-09-09;6;D3;1
100573;2015-09-25;2015-10-01;6;D3;8
100580;2017-08-13;2017-08-20;7;D3;7
100587;2016-12-10;2016-12-14;4;D3;3
100601;2017-11-16;2017-11-20;4;D3;7
100615;2017-04-20;2017-04-24;4;D3;2
100622;2017-11-03;2017-11-07;4;D3;6
100636;2017-06-26;2017-06-30;4;D3;4
100650;2017-06-29;2017-07-03;4;D2;8
100657;2015-11-02;2015-11-07;5;D3;4
100671;2016-11-01;2016-11-04;3;D1;1
100678;2014-04-18;2014-04-22;4;D3;2
100685;2015-12-19;2015-12-21;2;D2;1
100706;2014-12-16;2014-12-18;2;D2;6
100720;2016-07-16;2016-07-21;5;D3;3
100734;2015-09-15;2015-09-20;5;D3;3
100748;2017-05-13;2017-05-20;7;D3;7
100762;2014-11-24;2014-11-29;5;D3;2
100769;2015-05-16;2015-05-16;0;D0;5
100783;2017-09-04;2017-09-08;4;D2;2
100790;2016-06-26;2016-07-02;6;D3;4
100811;2017-11-21;2017-11-24;3;D1;3
100818;2015-05-31;2015-06-05;5;D2;1
100825;2017-09-09;2017-09-14;5;D3;8
100839;2016-10-13;2016-10-17;4;D3;7
100853;2014-09-14;2014-09-19;5;D3;1
100860;2014-03-26;2014-03-30;4;D2;8
100867;2014-10-19;2014-10-24;5;D3;8
100881;2014-03-28;2014-04-01;4;D3;7
100888;2015-04-06;2015-04-10;4;D3;5
100895;2014-06-02;2014-06-06;4;D3;5
100902;2017-11-17;2017-11-21;4;D3;5
100916;2014-10-21;2014-10-26;5;D3;6
100930;2017-04-07;2017-04-12;5;D3;6
100944;2016-09-24;2016-09-28;4;D3;7
100951;2017-06-09;2017-06-10;1;D1;1
100965;2016-07-07;2016-07-11;4;D3;7
100972;2014-11-19;2014-11-24;5;D2;8
100993;2016-02-05;2016-02-10;5;D3;8
101000;2015-04-09;2015-04-14;5;D3;3
101007;2015-02-09;2015-02-13;4;D2;2
101014;2017-08-29;2017-09-04;6;D3;7
101042;2017-11-19;2017-11-23;4;D3;5
101049;2017-06-21;2017-06-25;4;D2;4
101077;2017-03-25;2017-03-30;5;D2;2
101091;2015-12-05;2015-12-09;4;D2;3
101126;2015-02-10;2015-02-14;4;D2;4
101147;2014-12-02;2014-12-04;2;D1;2
101154;2015-09-18;2015-09-21;3;D1;8
101161;2016-10-13;2016-10-20;7;D3;4
101168;2016-12-25;2017-01-01;7;D3;4
101175;2014-12-09;2014-12-14;5;D3;7
101182;2017-09-04;2017-09-05;1;D1;7
101189;2016-02-04;2016-02-09;5;D3;7
101196;2016-05-12;2016-05-17;5;D3;4
101210;2017-08-25;2017-08-28;3;D2;5
101245;2017-11-27;2017-12-03;6;D3;8
101266;2014-08-27;2014-08-30;3;D2;6
101273;2017-08-27;2017-08-30;3;D2;6
101308;2017-10-02;2017-10-07;5;D3;8
101322;2017-12-28;2017-12-31;3;D1;7
101329;2016-04-22;2016-04-29;7;D3;4
101336;2016-11-13;2016-11-18;5;D3;4
101343;2016-07-17;2016-07-22;5;D3;8
101364;2014-12-22;2014-12-26;4;D3;3
101378;2016-07-14;2016-07-14;0;D0;5
101385;2016-09-25;2016-10-01;6;D3;8
101392;2014-12-07;2014-12-13;6;D3;8
101399;2015-01-17;2015-01-24;7;D3;1
101427;2014-12-26;2014-12-30;4;D3;4
101434;2017-06-20;2017-06-27;7;D3;4
101448;2016-02-27;2016-03-01;3;D2;1
101462;2014-04-20;2014-04-25;5;D3;7
101469;2016-07-02;2016-07-08;6;D3;6
101476;2014-09-12;2014-09-13;1;D1;3
101483;2017-07-29;2017-08-01;3;D2;5
101497;2016-09-29;2016-10-01;2;D2;7
101511;2015-11-21;2015-11-23;2;D2;4
101518;2017-11-03;2017-11-08;5;D3;4
101525;2016-05-01;2016-05-04;3;D2;6
101539;2017-03-16;2017-03-18;2;D2;7
101546;2016-12-18;2016-12-24;6;D3;3
101560;2014-11-28;2014-12-01;3;D2;6
101574;2017-09-28;2017-10-04;6;D3;7
101581;2017-10-22;2017-10-27;5;D3;7
101602;2014-12-15;2014-12-18;3;D1;2
101616;2016-09-03;2016-09-06;3;D1;5
101623;2016-02-28;2016-03-06;7;D3;4
