item_id;order_id;customer_id;product_id;sales_amount;quantity;discount;profit;margin
1;152156;167;FUR-BO-10001798;261.96;2;0;41.91;0.32
2;152156;167;FUR-CH-10000454;731.94;3;0;219.58;0.9
3;138688;202;OFF-LA-10000240;14.62;2;0;6.87;0.94
4;108966;688;FUR-TA-10000577;957.58;5;0.45;-383.03;-2
5;108966;688;OFF-ST-10000760;22.37;2;0.2;2.52;0.23
6;115812;114;FUR-FU-10001487;48.86;7;0;14.17;2.03
7;115812;114;OFF-AR-10002833;7.28;4;0;1.97;1.08
8;115812;114;TEC-PH-10002275;907.15;6;0.2;90.72;0.6
9;115812;114;OFF-BI-10003910;18.5;3;0.2;5.78;0.94
10;115812;114;OFF-AP-10002892;114.9;5;0;34.47;1.5
11;115812;114;FUR-TA-10001539;1706.18;9;0.2;85.31;0.45
12;115812;114;TEC-PH-10002033;911.42;4;0.2;68.36;0.3
13;114412;32;OFF-PA-10002365;15.55;3;0.2;5.44;1.05
14;161389;337;OFF-BI-10003656;407.98;3;0.2;132.59;0.97
15;118983;320;OFF-AP-10002311;68.81;5;0.8;-123.86;-9
16;118983;320;OFF-BI-10000756;2.54;3;0.8;-3.82;-4.51
17;105893;604;OFF-ST-10004186;665.88;6;0;13.32;0.12
18;167164;18;OFF-ST-10000107;55.5;2;0;9.99;0.36
19;143336;793;OFF-AR-10003056;8.56;2;0;2.48;0.58
20;143336;793;TEC-PH-10001949;213.48;3;0.2;16.01;0.22
21;143336;793;OFF-BI-10002215;22.72;4;0.2;7.38;1.3
22;137330;438;OFF-AR-10000246;19.46;7;0;5.06;1.82
23;137330;438;OFF-AP-10001492;60.34;7;0;15.69;1.82
24;156909;670;FUR-CH-10002774;71.37;2;0.3;-1.02;-0.03
25;106320;257;FUR-TA-10000577;1044.63;3;0;240.26;0.69
26;121755;262;OFF-BI-10001634;11.65;2;0.2;4.22;0.72
27;121755;262;TEC-AC-10003027;90.57;3;0;11.77;0.39
28;150630;766;FUR-BO-10004834;3083.43;7;0.5;-1665.05;-3.78
29;150630;766;OFF-BI-10000474;9.62;2;0.7;-7.05;-1.47
30;150630;766;FUR-FU-10004848;124.2;3;0.2;15.53;0.38
31;150630;766;OFF-EN-10001509;3.26;2;0.2;1.1;0.67
32;150630;766;OFF-AR-10004042;86.3;6;0.2;9.71;0.68
33;150630;766;OFF-BI-10001525;6.86;6;0.7;-5.72;-5
34;150630;766;OFF-AR-10001683;15.76;2;0.2;3.55;0.45
35;107727;503;OFF-PA-10000249;29.47;3;0.2;9.95;1.01
36;117590;298;TEC-PH-10004977;1097.54;7;0.2;123.47;0.79
37;117590;298;FUR-FU-10003664;190.92;5;0.6;-147.96;-3.87
38;117415;713;OFF-EN-10002986;113.33;9;0.2;35.42;2.81
39;117415;713;FUR-BO-10002545;532.4;3;0.32;-46.98;-0.26
40;117415;713;FUR-CH-10004218;212.06;3;0.3;-15.15;-0.21
41;117415;713;TEC-PH-10000486;371.17;4;0.2;41.76;0.45
42;120999;461;TEC-PH-10004093;147.17;4;0.2;16.56;0.45
43;101343;658;OFF-ST-10003479;77.88;2;0;3.89;0.1
44;139619;271;OFF-ST-10003282;95.62;2;0.2;9.56;0.2
45;118255;580;TEC-AC-10000171;45.98;2;0;19.77;0.86
46;118255;580;OFF-BI-10003291;17.46;2;0;8.21;0.94
47;146703;590;OFF-ST-10001713;211.96;4;0;8.48;0.16
48;169194;459;TEC-AC-10002167;45;3;0;4.95;0.33
49;169194;459;TEC-PH-10003988;21.8;2;0;6.1;0.56
50;115742;199;OFF-BI-10004410;38.22;6;0;17.96;2.82
51;115742;199;OFF-LA-10002762;75.18;6;0;35.33;2.82
52;115742;199;FUR-FU-10001706;6.16;2;0;2.96;0.96
53;115742;199;FUR-CH-10003061;89.99;1;0;17.1;0.19
54;105816;350;OFF-FA-10000304;15.26;7;0;6.26;2.87
55;105816;350;TEC-PH-10002447;1029.95;5;0;298.69;1.45
56;111682;736;OFF-ST-10000604;208.56;6;0;52.14;1.5
57;111682;736;OFF-PA-10001569;32.4;5;0;15.55;2.4
58;111682;736;FUR-CH-10003968;319.41;5;0.1;7.1;0.11
59;111682;736;OFF-PA-10000587;14.56;2;0;6.99;0.96
60;111682;736;TEC-AC-10002167;30;2;0;3.3;0.22
61;111682;736;OFF-BI-10001460;48.48;4;0.2;16.36;1.35
62;111682;736;OFF-AR-10001868;1.68;1;0;0.84;0.5
63;135545;447;TEC-AC-10004633;13.98;2;0;6.15;0.88
64;135545;447;OFF-BI-10001078;25.82;6;0.2;9.36;2.18
65;135545;447;OFF-PA-10003892;146.73;3;0;68.96;1.41
66;135545;447;FUR-FU-10000397;79.76;4;0;22.33;1.12
67;164175;597;FUR-CH-10001146;213.12;5;0.3;-15.22;-0.36
68;106376;106;OFF-AR-10002671;1113.02;8;0.2;111.3;0.8
69;106376;106;TEC-PH-10002726;167.97;4;0.2;62.99;1.5
70;119823;417;OFF-PA-10000482;75.88;2;0;35.66;0.94
71;106075;331;OFF-BI-10004654;4.62;1;0.2;1.73;0.37
72;114440;766;OFF-PA-10004675;19.05;3;0;8.76;1.38
73;134026;382;FUR-CH-10000513;831.94;8;0.2;-114.39;-1.1
74;134026;382;FUR-FU-10003708;97.04;2;0.2;1.21;0.02
75;134026;382;OFF-ST-10004123;72.78;1;0.2;-18.2;-0.25
76;118038;439;OFF-BI-10004182;1.25;3;0.8;-1.93;-4.63
77;118038;439;FUR-FU-10000260;9.71;3;0.6;-5.82;-1.8
78;118038;439;OFF-ST-10000615;27.24;3;0.2;2.72;0.3
79;147606;382;FUR-FU-10003194;19.3;5;0.6;-14.48;-3.75
80;127208;717;OFF-AP-10002118;208.16;1;0;56.2;0.27
81;127208;717;OFF-BI-10002309;16.74;3;0;8.04;1.44
82;139451;245;OFF-AR-10002053;14.9;5;0;4.17;1.4
83;139451;245;OFF-ST-10002370;21.39;1;0;6.2;0.29
84;149734;406;OFF-EN-10000927;200.98;7;0.2;62.81;2.19
85;119662;159;OFF-ST-10003656;230.38;3;0.2;-48.95;-0.64
86;140088;590;FUR-CH-10000863;301.96;2;0;33.22;0.22
87;155558;592;TEC-AC-10001998;19.99;1;0;6.8;0.34
88;155558;592;OFF-LA-10000134;6.16;2;0;2.96;0.96
89;159695;296;OFF-ST-10003442;158.37;7;0.2;13.86;0.61
90;109806;378;OFF-AR-10004930;20.1;3;0;6.63;0.99
91;109806;378;TEC-PH-10004093;73.58;2;0.2;8.28;0.23
92;109806;378;OFF-PA-10000304;6.48;1;0;3.11;0.48
93;149587;420;OFF-PA-10003177;12.96;2;0;6.22;0.96
94;149587;420;FUR-FU-10003799;53.34;3;0;16.54;0.93
95;149587;420;OFF-BI-10002852;32.96;2;0;16.15;0.98
96;109484;646;OFF-BI-10004738;5.68;1;0.7;-3.79;-0.67
97;161018;584;FUR-FU-10000629;96.53;7;0;40.54;2.94
98;157833;422;OFF-BI-10001721;51.31;3;0.2;17.96;1.05
99;149223;256;OFF-AP-10000358;77.88;6;0;22.59;1.74
100;158568;630;OFF-PA-10003256;64.62;7;0.2;22.62;2.45
